callsign,tipo_movimento,is_scheduled,destinazione_finale,compagnia_aerea,modello_aereo,orario_schedulato,timestamp,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,matched_score
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:26:34,RWY 28,Atterraggio,Est -> Ovest,228,284.8,1.88,Ireland,0
AIC4018,Cargo/Non Schedulato,False,India,Compagnia AIC,N/D,,2026-09-11 01:27:08,N/D,Sorvolo,N/D,12496,127.87,12.58,India,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:27:08,RWY 28,Atterraggio,Est -> Ovest,228,284.8,1.88,Ireland,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:28:35,RWY 28,Atterraggio,Est -> Ovest,228,284.8,1.88,Ireland,0
MAC454,Cargo/Non Schedulato,False,United Arab Emirates,Compagnia MAC,N/D,,2026-09-11 01:29:09,RWY 10,Decollo,Ovest -> Est,655,104.87,3.27,United Arab Emirates,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:29:09,RWY 28,Atterraggio,Est -> Ovest,228,284.8,1.88,Ireland,0
WMT7DH,Cargo/Non Schedulato,False,Malta,Wizz Air Malta,Airbus A320-200,,2026-09-11 01:29:09,N/D,Transito,N/D,9258,74.1,28.67,Malta,0
MAC454,Cargo/Non Schedulato,False,United Arab Emirates,Compagnia MAC,N/D,,2026-09-11 01:30:36,N/D,Avvicinamento,Rotta 225.6°,1767,225.58,8.58,United Arab Emirates,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:30:36,RWY 28,Atterraggio,Est -> Ovest,228,284.8,1.88,Ireland,0
WMT7DH,Cargo/Non Schedulato,False,Malta,Wizz Air Malta,Airbus A320-200,,2026-09-11 01:30:36,N/D,Sorvolo,N/D,9822,74.3,13.54,Malta,0
MAC454,Cargo/Non Schedulato,False,United Arab Emirates,Compagnia MAC,N/D,,2026-09-11 01:31:10,N/D,Sorvolo,N/D,2247,227.54,10.36,United Arab Emirates,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:31:10,RWY 28,Atterraggio,Est -> Ovest,228,284.8,1.88,Ireland,0
WMT7DH,Cargo/Non Schedulato,False,Malta,Wizz Air Malta,Airbus A320-200,,2026-09-11 01:31:10,N/D,Sorvolo,N/D,10088,74.33,12.23,Malta,0
MAC454,Cargo/Non Schedulato,False,United Arab Emirates,Compagnia MAC,N/D,,2026-09-11 01:32:37,N/D,Transito,N/D,3520,226.7,20.03,United Arab Emirates,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:39:14,N/D,Sorvolo,N/D,3962,217.3,19.84,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:40:40,N/D,Avvicinamento,Rotta 217.3°,3162,217.34,4.83,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:41:15,N/D,Avvicinamento,Rotta 195.6°,3055,195.63,1.33,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:42:41,N/D,Sorvolo,N/D,2514,157.55,12.38,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:43:16,N/D,Sorvolo,N/D,2263,124.49,17.77,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:44:42,N/D,Transito,N/D,1836,71.33,25.61,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:45:16,N/D,Transito,N/D,1577,356.83,24.16,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:46:43,N/D,Sorvolo,N/D,1127,290.56,18.95,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:47:17,N/D,Sorvolo,N/D,952,284.89,15.66,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:48:44,RWY 28,Avvicinamento,Est -> Ovest,548,284.47,8.11,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:49:18,RWY 28,Avvicinamento,Est -> Ovest,403,285.4,5.15,Malta,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:50:45,RWY 28,Atterraggio,Est -> Ovest,228,284.7,1.86,Malta,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:51:19,N/D,Transito,N/D,3710,127.83,22.76,Ireland,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:51:19,RWY 28,Atterraggio,Est -> Ovest,228,284.7,1.86,Malta,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:52:46,N/D,Sorvolo,N/D,3116,127.54,11.37,Ireland,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:52:46,RWY 28,Atterraggio,Est -> Ovest,228,284.7,1.86,Malta,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:53:20,N/D,Avvicinamento,Rotta 127.6°,2948,127.64,8.29,Ireland,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:53:20,RWY 28,Atterraggio,Est -> Ovest,228,284.7,1.86,Malta,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:54:47,N/D,Sorvolo,N/D,2316,127.42,15.57,Ireland,0
RYR30DK,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:54:47,RWY 28,Atterraggio,Est -> Ovest,228,284.7,1.86,Malta,0
