timestamp,sessione_notturna,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese
2026-09-10 23:58:03,2026-09-10,RYR5KU,48c1a6,N/D,Sorvolo,N/D,2491,103.12,15.55,Poland
2026-09-10 23:59:49,2026-09-10,WZZ6579,471d5c,N/D,Sorvolo,N/D,1577,158.37,10.72,Hungary
2026-09-10 23:59:49,2026-09-10,RYR5KU,48c1a6,N/D,Transito,N/D,3558,54.5,23.69,Poland
2026-09-11 00:00:24,2026-09-10,WZZ6579,471d5c,N/D,Sorvolo,N/D,1844,157.22,14.13,Hungary
2026-09-11 00:01:50,2026-09-10,RYR39BB,4ca27b,N/D,Transito,N/D,4594,217.41,21.9,Ireland
2026-09-11 00:02:25,2026-09-10,RYR39BB,4ca27b,N/D,Sorvolo,N/D,4419,217.24,18.38,Ireland
2026-09-11 00:02:25,2026-09-10,RYR8AD,4ca92b,N/D,Transito,N/D,1813,344.25,27.16,Ireland
2026-09-11 00:03:51,2026-09-10,RYR39BB,4ca27b,N/D,Avvicinamento,Rotta 217.2°,3787,217.16,5.84,Ireland
2026-09-11 00:03:51,2026-09-10,CCA750,78103a,N/D,Transito,N/D,4899,87.97,26.27,China
2026-09-11 00:03:51,2026-09-10,RYR8AD,4ca92b,N/D,Transito,N/D,1272,354.85,21.21,Ireland
2026-09-11 00:04:26,2026-09-10,RYR39BB,4ca27b,N/D,Avvicinamento,Rotta 205.6°,3627,205.59,1.42,Ireland
2026-09-11 00:04:26,2026-09-10,CCA750,78103a,N/D,Transito,N/D,5242,88.13,21.1,China
2026-09-11 00:04:26,2026-09-10,RYR8AD,4ca92b,N/D,Sorvolo,N/D,1097,285.15,18.36,Ireland
2026-09-11 00:05:52,2026-09-10,RYR52TC,4ca4ec,N/D,Transito,N/D,1485,358.6,22.6,Ireland
2026-09-11 00:05:52,2026-09-10,RYR39BB,4ca27b,N/D,Sorvolo,N/D,3086,156.63,10.96,Ireland
2026-09-11 00:05:52,2026-09-10,CCA750,78103a,N/D,Sorvolo,N/D,5943,88.21,12.98,China
2026-09-11 00:05:52,2026-09-10,RYR8AD,4ca92b,N/D,Sorvolo,N/D,662,285.0,10.1,Ireland
2026-09-11 00:06:27,2026-09-10,RYR52TC,4ca4ec,N/D,Transito,N/D,1219,334.33,20.67,Ireland
2026-09-11 00:06:27,2026-09-10,RYR39BB,4ca27b,N/D,Sorvolo,N/D,2865,156.68,16.13,Ireland
2026-09-11 00:06:27,2026-09-10,CCA750,78103a,N/D,Sorvolo,N/D,6225,88.26,15.21,China
2026-09-11 00:06:27,2026-09-10,RYR8AD,4ca92b,RWY 28,Avvicinamento,Est -> Ovest,495,284.8,6.97,Ireland
